phi,kxx
0.1597740001,6.520671327731e-09
0.1597740001,6.520671327731e-09
0.15933400009999998,4.8457243183689995e-09
0.15933400009999998,4.8457243183689995e-09
0.1565510001,3.497942382957e-09
0.1565510001,3.497942382957e-09
0.1921190001,1.13427094869e-08
0.1921190001,1.13427094869e-08
0.2210610001,1.184446129262e-08
0.2210610001,1.184446129262e-08
0.2297390001,1.546429857236e-08
0.2297390001,1.546429857236e-08
0.1989690001,9.686711404898e-09
0.1989690001,9.686711404898e-09
0.18465600010000002,4.284796591580999e-09
0.18465600010000002,4.284796591580999e-09
0.22279200010000003,1.245210996843e-08
0.22279200010000003,1.245210996843e-08
0.2426590001,1.952055333536e-08
0.2426590001,1.952055333536e-08
0.22554100010000003,1.002871980528e-08
