"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1391.5,1,7.38,0.5,7.38,0
1386.5,1,7.39,0.5,7.39,0
1381.4,1,7.4,0.5,7.4,0
1376.4,1,7.41,0.5,7.41,0
1371.4,1,7.42,0.5,7.42,0
1366.4,1,7.43,0.5,7.43,0
1361.4,1,7.44,0.5,7.44,0
1356.4,1,7.45,0.5,7.45,0
1351.4,1,7.46,0.5,7.46,0
1346.4,1,7.47,0.5,7.47,0
1341.4,1,7.48,0.5,7.48,0
1336.4,1,7.49,0.5,7.49,0
1331.4,1,7.5,0.5,7.5,0
1326.3,1,7.51,0.5,7.51,0
1321.2,1,7.52,0.5,7.52,0
1316.1,1,7.53,0.5,7.53,0
1311,1,7.54,0.5,7.54,0
1305.9,1,7.55,0.5,7.55,0
1300.9,1,7.56,0.5,7.56,0
1295.8,1,7.57,0.5,7.57,0
1290.7,1,7.58,0.5,7.58,0
1285.6,1,7.59,0.5,7.59,0
1280.5,1,7.6,0.5,7.6,0
1275.4,1,7.61,0.5,7.61,0
1270.3,1,7.62,0.5,7.62,0
1265.2,1,7.63,0.5,7.63,0
1260.1,1,7.64,0.5,7.64,0
1255.1,1,7.65,0.5,7.65,0
1250,1,7.66,0.5,7.66,0
1244.9,1,7.67,0.5,7.67,0
1239.8,1,7.68,0.5,7.68,0
1234.7,1,7.69,0.5,7.69,0
1229.6,1,7.7,0.5,7.7,0
1224.5,1,7.71,0.5,7.71,0
1219.4,1,7.72,0.5,7.72,0
1214.3,1,7.73,0.5,7.73,0
1209.3,1,7.74,0.5,7.74,0
1204.2,1,7.75,0.5,7.75,0
1199,1,7.76,0.5,7.76,0
1193.8,1,7.77,0.5,7.77,0
1188.7,1,7.78,0.5,7.78,0
1183.5,1,7.79,0.5,7.79,0
1178.4,1,7.8,0.5,7.8,0
1173.2,1,7.81,0.5,7.81,0
1168,1,7.82,0.5,7.82,0
1162.9,1,7.83,0.5,7.83,0
1157.7,1,7.84,0.5,7.84,0
1152.5,1,7.85,0.5,7.85,0
1147.4,1,7.86,0.5,7.86,0
1142.2,1,7.87,0.5,7.87,0
1137.1,1,7.88,0.5,7.88,0
1131.9,1,7.89,0.5,7.89,0
1126.7,1,7.9,0.5,7.9,0
1121.6,1,7.91,0.5,7.91,0
1116.4,1,7.92,0.5,7.92,0
1111.2,1,7.93,0.5,7.93,0
1106.1,1,7.94,0.5,7.94,0
1100.9,1,7.95,0.5,7.95,0
1095.7,1,7.96,0.5,7.96,0
1090.6,1,7.97,0.5,7.97,0
1085.4,1,7.98,0.5,7.98,0
1080.3,1,7.99,0.5,7.99,0
1075.1,1,8,0.5,8,0
1069.9,1,8.01,0.5,8.01,0
