"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0010748,-0.048746,0,1,0.891,0.891,0.5,0
-0.0010651,-0.048744,0,1,0.892,0.892,0.5,0
-0.0010552,-0.048742,0,1,0.893,0.893,0.5,0
-0.0010454,-0.048741,0,1,0.894,0.894,0.5,0
-0.0010355,-0.048739,0,1,0.895,0.895,0.5,0
-0.0010256,-0.048738,0,1,0.896,0.896,0.5,0
-0.0010158,-0.048736,0,1,0.897,0.897,0.5,0
-0.0010059,-0.048735,0,1,0.898,0.898,0.5,0
-0.00099606,-0.048733,0,1,0.899,0.899,0.5,0
-0.0009862,-0.048732,0,1,0.9,0.9,0.5,0
-0.00097634,-0.04873,0,1,0.901,0.901,0.5,0
-0.00096648,-0.048729,0,1,0.902,0.902,0.5,0
-0.00095661,-0.048727,0,1,0.903,0.903,0.5,0
-0.00094675,-0.048726,0,1,0.904,0.904,0.5,0
-0.00093689,-0.048724,0,1,0.905,0.905,0.5,0
-0.00092703,-0.048723,0,1,0.906,0.906,0.5,0
-0.00091717,-0.048721,0,1,0.907,0.907,0.5,0
-0.0009073,-0.04872,0,1,0.908,0.908,0.5,0
-0.00089744,-0.048718,0,1,0.909,0.909,0.5,0
-0.00088758,-0.048717,0,1,0.91,0.91,0.5,0
-0.00087772,-0.048715,0,1,0.911,0.911,0.5,0
-0.00086786,-0.048714,0,1,0.912,0.912,0.5,0
-0.00085799,-0.048712,0,1,0.913,0.913,0.5,0
-0.00084813,-0.048711,0,1,0.914,0.914,0.5,0
-0.00083827,-0.048709,0,1,0.915,0.915,0.5,0
-0.00082841,-0.048708,0,1,0.916,0.916,0.5,0
-0.00081855,-0.048706,0,1,0.917,0.917,0.5,0
-0.00080868,-0.048705,0,1,0.918,0.918,0.5,0
-0.00079882,-0.048703,0,1,0.919,0.919,0.5,0
-0.00078896,-0.048702,0,1,0.92,0.92,0.5,0
-0.0007791,-0.0487,0,1,0.921,0.921,0.5,0
-0.00076924,-0.048699,0,1,0.922,0.922,0.5,0
-0.00075937,-0.048697,0,1,0.923,0.923,0.5,0
-0.00074951,-0.048696,0,1,0.924,0.924,0.5,0
-0.00073965,-0.048694,0,1,0.925,0.925,0.5,0
-0.00072979,-0.048693,0,1,0.926,0.926,0.5,0
-0.00071993,-0.048691,0,1,0.927,0.927,0.5,0
-0.00071006,-0.04869,0,1,0.928,0.928,0.5,0
-0.0007002,-0.048688,0,1,0.929,0.929,0.5,0
-0.00069034,-0.048687,0,1,0.93,0.93,0.5,0
-0.00068048,-0.048685,0,1,0.931,0.931,0.5,0
-0.00067062,-0.048684,0,1,0.932,0.932,0.5,0
-0.00066075,-0.048682,0,1,0.933,0.933,0.5,0
-0.00065089,-0.048681,0,1,0.934,0.934,0.5,0
-0.00064103,-0.048679,0,1,0.935,0.935,0.5,0
-0.00063117,-0.048678,0,1,0.936,0.936,0.5,0
-0.00062131,-0.048676,0,1,0.937,0.937,0.5,0
-0.00061144,-0.048675,0,1,0.938,0.938,0.5,0
-0.00060158,-0.048673,0,1,0.939,0.939,0.5,0
-0.00059172,-0.048672,0,1,0.94,0.94,0.5,0
-0.00058186,-0.04867,0,1,0.941,0.941,0.5,0
-0.000572,-0.048669,0,1,0.942,0.942,0.5,0
-0.00056213,-0.048667,0,1,0.943,0.943,0.5,0
-0.00055227,-0.048666,0,1,0.944,0.944,0.5,0
-0.00054241,-0.048664,0,1,0.945,0.945,0.5,0
-0.00053255,-0.048663,0,1,0.946,0.946,0.5,0
-0.00052269,-0.048661,0,1,0.947,0.947,0.5,0
-0.00051282,-0.04866,0,1,0.948,0.948,0.5,0
-0.00050296,-0.048658,0,1,0.949,0.949,0.5,0
-0.0004931,-0.048657,0,1,0.95,0.95,0.5,0
-0.00048324,-0.048655,0,1,0.951,0.951,0.5,0
-0.00047338,-0.048654,0,1,0.952,0.952,0.5,0
-0.00046351,-0.048652,0,1,0.953,0.953,0.5,0
-0.00045365,-0.048651,0,1,0.954,0.954,0.5,0
-0.00044379,-0.048649,0,1,0.955,0.955,0.5,0
-0.00043393,-0.048648,0,1,0.956,0.956,0.5,0
-0.00042407,-0.048646,0,1,0.957,0.957,0.5,0
-0.0004142,-0.048645,0,1,0.958,0.958,0.5,0
-0.00040434,-0.048643,0,1,0.959,0.959,0.5,0
-0.00039448,-0.048642,0,1,0.96,0.96,0.5,0
-0.00038462,-0.04864,0,1,0.961,0.961,0.5,0
-0.00037476,-0.048639,0,1,0.962,0.962,0.5,0
-0.00036489,-0.048637,0,1,0.963,0.963,0.5,0
-0.00035503,-0.048636,0,1,0.964,0.964,0.5,0
-0.00034517,-0.048634,0,1,0.965,0.965,0.5,0
-0.00033531,-0.048633,0,1,0.966,0.966,0.5,0
