"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0031014,-0.095318,0,1,0.168,0.168,1,0
-0.0031185,-0.095309,0,1,0.169,0.169,1,0
-0.0031356,-0.0953,0,1,0.17,0.17,1,0
-0.0031526,-0.095291,0,1,0.171,0.171,1,0
-0.0031697,-0.095282,0,1,0.172,0.172,1,0
-0.0031868,-0.095273,0,1,0.173,0.173,1,0
-0.0032038,-0.095263,0,1,0.174,0.174,1,0
-0.0032209,-0.095254,0,1,0.175,0.175,1,0
-0.0032379,-0.095245,0,1,0.176,0.176,1,0
-0.003255,-0.095236,0,1,0.177,0.177,1,0
-0.0032721,-0.095227,0,1,0.178,0.178,1,0
-0.0032881,-0.095216,0,1,0.179,0.179,1,0
-0.0033024,-0.095204,0,1,0.18,0.18,1,0
-0.0033168,-0.095191,0,1,0.181,0.181,1,0
-0.0033311,-0.095178,0,1,0.182,0.182,1,0
-0.0033455,-0.095165,0,1,0.183,0.183,1,0
-0.0033598,-0.095153,0,1,0.184,0.184,1,0
-0.0033741,-0.09514,0,1,0.185,0.185,1,0
-0.0033885,-0.095127,0,1,0.186,0.186,1,0
-0.0034028,-0.095114,0,1,0.187,0.187,1,0
-0.0034171,-0.095102,0,1,0.188,0.188,1,0
-0.0034315,-0.095089,0,1,0.189,0.189,1,0
-0.0034458,-0.095076,0,1,0.19,0.19,1,0
-0.0034602,-0.095064,0,1,0.191,0.191,1,0
-0.0034745,-0.095051,0,1,0.192,0.192,1,0
-0.0034888,-0.095038,0,1,0.193,0.193,1,0
-0.0035032,-0.095025,0,1,0.194,0.194,1,0
-0.0035175,-0.095013,0,1,0.195,0.195,1,0
-0.0035318,-0.095,0,1,0.196,0.196,1,0
-0.0035462,-0.094987,0,1,0.197,0.197,1,0
-0.0035605,-0.094974,0,1,0.198,0.198,1,0
-0.0035749,-0.094962,0,1,0.199,0.199,1,0
-0.0035892,-0.094949,0,1,0.2,0.2,1,0
-0.0036035,-0.094936,0,1,0.201,0.201,1,0
-0.0036179,-0.094923,0,1,0.202,0.202,1,0
-0.0036322,-0.094911,0,1,0.203,0.203,1,0
-0.0036465,-0.094898,0,1,0.204,0.204,1,0
-0.0036609,-0.094885,0,1,0.205,0.205,1,0
-0.0036752,-0.094873,0,1,0.206,0.206,1,0
-0.0036896,-0.09486,0,1,0.207,0.207,1,0
-0.0037039,-0.094847,0,1,0.208,0.208,1,0
-0.0037182,-0.094834,0,1,0.209,0.209,1,0
-0.0037326,-0.094822,0,1,0.21,0.21,1,0
-0.0037469,-0.094809,0,1,0.211,0.211,1,0
-0.0037613,-0.094796,0,1,0.212,0.212,1,0
-0.0037756,-0.094783,0,1,0.213,0.213,1,0
-0.0037899,-0.094771,0,1,0.214,0.214,1,0
-0.0038043,-0.094758,0,1,0.215,0.215,1,0
-0.0038186,-0.094745,0,1,0.216,0.216,1,0
-0.0038329,-0.094732,0,1,0.217,0.217,1,0
-0.0038473,-0.09472,0,1,0.218,0.218,1,0
-0.0038616,-0.094707,0,1,0.219,0.219,1,0
-0.003876,-0.094694,0,1,0.22,0.22,1,0
-0.0038903,-0.094682,0,1,0.221,0.221,1,0
-0.0039046,-0.094669,0,1,0.222,0.222,1,0
-0.003919,-0.094656,0,1,0.223,0.223,1,0
-0.0039333,-0.094643,0,1,0.224,0.224,1,0
-0.0039476,-0.094631,0,1,0.225,0.225,1,0
-0.003962,-0.094618,0,1,0.226,0.226,1,0
-0.0039763,-0.094605,0,1,0.227,0.227,1,0
-0.0039907,-0.094592,0,1,0.228,0.228,1,0
