"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0014971,-0.0098393,0,1,0.92,0.92,0.2,0
-0.0014784,-0.0098386,0,1,0.921,0.921,0.2,0
-0.0014597,-0.0098378,0,1,0.922,0.922,0.2,0
-0.001441,-0.0098371,0,1,0.923,0.923,0.2,0
-0.0014223,-0.0098364,0,1,0.924,0.924,0.2,0
-0.0014036,-0.0098356,0,1,0.925,0.925,0.2,0
-0.0013848,-0.0098349,0,1,0.926,0.926,0.2,0
-0.0013661,-0.0098342,0,1,0.927,0.927,0.2,0
-0.0013474,-0.0098334,0,1,0.928,0.928,0.2,0
-0.0013287,-0.0098327,0,1,0.929,0.929,0.2,0
-0.00131,-0.009832,0,1,0.93,0.93,0.2,0
-0.0012913,-0.0098312,0,1,0.931,0.931,0.2,0
-0.0012726,-0.0098305,0,1,0.932,0.932,0.2,0
-0.0012538,-0.0098298,0,1,0.933,0.933,0.2,0
-0.0012351,-0.009829,0,1,0.934,0.934,0.2,0
-0.0012164,-0.0098283,0,1,0.935,0.935,0.2,0
-0.0011977,-0.0098276,0,1,0.936,0.936,0.2,0
-0.001179,-0.0098268,0,1,0.937,0.937,0.2,0
-0.0011603,-0.0098261,0,1,0.938,0.938,0.2,0
-0.0011416,-0.0098254,0,1,0.939,0.939,0.2,0
-0.0011228,-0.0098246,0,1,0.94,0.94,0.2,0
-0.0011041,-0.0098239,0,1,0.941,0.941,0.2,0
-0.0010854,-0.0098232,0,1,0.942,0.942,0.2,0
-0.0010667,-0.0098224,0,1,0.943,0.943,0.2,0
-0.001048,-0.0098217,0,1,0.944,0.944,0.2,0
-0.0010293,-0.009821,0,1,0.945,0.945,0.2,0
-0.0010106,-0.0098202,0,1,0.946,0.946,0.2,0
-0.00099184,-0.0098195,0,1,0.947,0.947,0.2,0
-0.00097313,-0.0098188,0,1,0.948,0.948,0.2,0
-0.00095442,-0.0098181,0,1,0.949,0.949,0.2,0
-0.0009357,-0.0098173,0,1,0.95,0.95,0.2,0
-0.00091699,-0.0098166,0,1,0.951,0.951,0.2,0
-0.00089827,-0.0098159,0,1,0.952,0.952,0.2,0
-0.00087956,-0.0098151,0,1,0.953,0.953,0.2,0
-0.00086085,-0.0098144,0,1,0.954,0.954,0.2,0
-0.00084213,-0.0098137,0,1,0.955,0.955,0.2,0
-0.00082342,-0.0098129,0,1,0.956,0.956,0.2,0
-0.0008047,-0.0098122,0,1,0.957,0.957,0.2,0
-0.00078599,-0.0098115,0,1,0.958,0.958,0.2,0
-0.00076728,-0.0098107,0,1,0.959,0.959,0.2,0
-0.00074856,-0.00981,0,1,0.96,0.96,0.2,0
-0.00072985,-0.0098093,0,1,0.961,0.961,0.2,0
-0.00071113,-0.0098085,0,1,0.962,0.962,0.2,0
-0.00069242,-0.0098078,0,1,0.963,0.963,0.2,0
-0.00067371,-0.0098071,0,1,0.964,0.964,0.2,0
-0.00065499,-0.0098063,0,1,0.965,0.965,0.2,0
-0.00063628,-0.0098056,0,1,0.966,0.966,0.2,0
-0.00061756,-0.0098049,0,1,0.967,0.967,0.2,0
-0.00059885,-0.0098041,0,1,0.968,0.968,0.2,0
-0.00058014,-0.0098034,0,1,0.969,0.969,0.2,0
-0.00056142,-0.0098027,0,1,0.97,0.97,0.2,0
-0.00054271,-0.0098019,0,1,0.971,0.971,0.2,0
-0.00052399,-0.0098012,0,1,0.972,0.972,0.2,0
-0.00050528,-0.0098005,0,1,0.973,0.973,0.2,0
-0.00048657,-0.0097997,0,1,0.974,0.974,0.2,0
-0.00046785,-0.009799,0,1,0.975,0.975,0.2,0
-0.00044914,-0.0097983,0,1,0.976,0.976,0.2,0
-0.00043042,-0.0097975,0,1,0.977,0.977,0.2,0
-0.00041171,-0.0097968,0,1,0.978,0.978,0.2,0
-0.000393,-0.0097961,0,1,0.979,0.979,0.2,0
-0.00037428,-0.0097953,0,1,0.98,0.98,0.2,0
-0.00035557,-0.0097946,0,1,0.981,0.981,0.2,0
-0.00033685,-0.0097939,0,1,0.982,0.982,0.2,0
-0.00031814,-0.0097931,0,1,0.983,0.983,0.2,0
-0.00029942,-0.0097924,0,1,0.984,0.984,0.2,0
-0.00028071,-0.0097917,0,1,0.985,0.985,0.2,0
-0.000262,-0.0097909,0,1,0.986,0.986,0.2,0
-0.00024328,-0.0097902,0,1,0.987,0.987,0.2,0
-0.00022457,-0.0097895,0,1,0.988,0.988,0.2,0
-0.00020585,-0.0097887,0,1,0.989,0.989,0.2,0
-0.00018714,-0.009788,0,1,0.99,0.99,0.2,0
-0.00016843,-0.0097873,0,1,0.991,0.991,0.2,0
-0.00014971,-0.0097865,0,1,0.992,0.992,0.2,0
-0.000131,-0.0097858,0,1,0.993,0.993,0.2,0
-0.00011228,-0.0097851,0,1,0.994,0.994,0.2,0
-9.357e-05,-0.0097843,0,1,0.995,0.995,0.2,0
-7.4856e-05,-0.0097836,0,1,0.996,0.996,0.2,0
-5.6143e-05,-0.0097829,0,1,0.997,0.997,0.2,0
-3.7428e-05,-0.0097821,0,1,0.998,0.998,0.2,0
-1.8714e-05,-0.0097814,0,1,0.999,0.999,0.2,0
0,-0.0097807,0,1,1,1,0.2,0
