"f_10549-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.08338,1,0.966,0.966,0.5,0
0.080942,1,0.967,0.967,0.5,0
0.078503,1,0.968,0.968,0.5,0
0.076065,1,0.969,0.969,0.5,0
0.073627,1,0.97,0.97,0.5,0
0.071189,1,0.971,0.971,0.5,0
0.068751,1,0.972,0.972,0.5,0
0.066313,1,0.973,0.973,0.5,0
0.063875,1,0.974,0.974,0.5,0
0.061436,1,0.975,0.975,0.5,0
0.058998,1,0.976,0.976,0.5,0
0.05656,1,0.977,0.977,0.5,0
0.054122,1,0.978,0.978,0.5,0
0.051684,1,0.979,0.979,0.5,0
0.049226,1,0.98,0.98,0.5,0
0.046765,1,0.981,0.981,0.5,0
0.044304,1,0.982,0.982,0.5,0
0.041842,1,0.983,0.983,0.5,0
0.039381,1,0.984,0.984,0.5,0
0.03692,1,0.985,0.985,0.5,0
0.034458,1,0.986,0.986,0.5,0
0.031997,1,0.987,0.987,0.5,0
0.029536,1,0.988,0.988,0.5,0
0.027074,1,0.989,0.989,0.5,0
0.024613,1,0.99,0.99,0.5,0
0.022152,1,0.991,0.991,0.5,0
0.019691,1,0.992,0.992,0.5,0
0.017229,1,0.993,0.993,0.5,0
0.014768,1,0.994,0.994,0.5,0
0.012307,1,0.995,0.995,0.5,0
0.0098453,1,0.996,0.996,0.5,0
0.007384,1,0.997,0.997,0.5,0
0.0049226,1,0.998,0.998,0.5,0
0.0024613,1,0.999,0.999,0.5,0
0,1,1,1,0.5,0
