phi,kxx,kyy
4.226442405708461e-05,1.315887672953109e-10,1.315887672953109e-10
3.77697247706422e-05,3.548255863575943e-11,3.548255863575943e-11
3.8733435270132515e-05,4.326889051412844e-11,4.326889051412844e-11
3.73361875637105e-05,3.310327871272171e-11,3.310327871272171e-11
4.090652395514781e-05,9.686445951705402e-11,9.686445951705402e-11
3.8043425076452595e-05,1.142748529293578e-10,1.142748529293578e-10
3.075586136595311e-05,2.9633453573374105e-11,2.9633453573374105e-11
2.9583282364933743e-05,1.8399328788348624e-11,1.8399328788348624e-11
2.6718756371049947e-05,7.709983652847095e-12,7.709983652847095e-12
2.809031600407747e-05,1.2282013989184505e-11,1.2282013989184505e-11
2.8035983690112132e-05,1.4447510832456677e-11,1.4447510832456677e-11
2.007084607543323e-05,3.0256090505453616e-12,3.0256090505453616e-12
2.0963506625891947e-05,4.765561870711519e-12,4.765561870711519e-12
1.8031192660550457e-05,3.486203438352701e-12,3.486203438352701e-12
1.6832415902140673e-05,3.903628734617737e-12,3.903628734617737e-12
1.0418960244648318e-05,5.388309466973496e-13,5.388309466973496e-13
1.0919775739041793e-05,7.636884930137614e-13,7.636884930137614e-13
1.2954841997961264e-05,9.323386950172273e-13,9.323386950172273e-13
1.2182262996941897e-05,8.57069948293374e-13,8.57069948293374e-13
1.1468399592252803e-05,4.593217497089704e-13,4.593217497089704e-13
1.2847910295616718e-05,4.744585977943934e-13,4.744585977943934e-13
1.1508868501529052e-05,3.3591810776411823e-13,3.3591810776411823e-13
1.7889704383282365e-05,1.2131611304831804e-12,1.2131611304831804e-12
1.8960244648318044e-05,1.2087245028042813e-12,1.2087245028042813e-12
1.5626299694189603e-05,2.388807103110092e-13,2.388807103110092e-13
1.7092660550458717e-05,4.4506317281712533e-13,4.4506317281712533e-13
1.9120285423037717e-05,9.32968474819266e-13,9.32968474819266e-13
1.5071661569826709e-05,5.891419021608563e-13,5.891419021608563e-13
1.5873598369011212e-05,7.58547638719164e-13,7.58547638719164e-13
2.3280835881753314e-05,2.09650275569419e-12,2.09650275569419e-12
2.3289296636085626e-05,3.483094780863404e-12,3.483094780863404e-12
2.5722731906218146e-05,5.622847111141692e-12,5.622847111141692e-12
2.2386136595310907e-05,2.5944513352742097e-12,2.5944513352742097e-12
2.0891946992864423e-05,1.5180208324189602e-12,1.5180208324189602e-12
2.080632008154944e-05,2.0099432442446482e-12,2.0099432442446482e-12
1.8555147808358815e-05,1.2885938614046891e-12,1.2885938614046891e-12
2.675902140672783e-05,6.217254616311926e-12,6.217254616311926e-12
2.091060142711519e-05,1.2083824498766565e-12,1.2083824498766565e-12
2.3908562691131498e-05,1.818363423634047e-12,1.818363423634047e-12
2.3050458715596328e-05,9.907502686373087e-13,9.907502686373087e-13
2.4730173292558616e-05,1.183845182509684e-12,1.183845182509684e-12
2.188256880733945e-05,5.249244831133537e-13,5.249244831133537e-13
2.6051783893985732e-05,1.2067124267594291e-12,1.2067124267594291e-12
2.5256472986748214e-05,8.885881134979612e-13,8.885881134979612e-13
2.4278797145769624e-05,8.300226160604485e-13,8.300226160604485e-13
2.5193781855249747e-05,1.5544897107319059e-12,1.5544897107319059e-12
2.6489602446483183e-05,1.948947158944954e-12,1.948947158944954e-12
2.798756371049949e-05,4.5446661021274205e-12,4.5446661021274205e-12
2.9896738022426097e-05,9.01075057432314e-12,9.01075057432314e-12
3.381121304791029e-05,2.5444814267003053e-11,2.5444814267003053e-11
3.140835881753313e-05,1.548010825867482e-11,1.548010825867482e-11
2.8806014271151882e-05,1.095686070604485e-11,1.095686070604485e-11
2.872823649337411e-05,1.1635433352171254e-11,1.1635433352171254e-11
2.9356065239551478e-05,9.732844425299694e-12,9.732844425299694e-12
2.7624464831804282e-05,7.198554163766565e-12,7.198554163766565e-12
3.020784913353721e-05,1.6811599581355757e-11,1.6811599581355757e-11
3.119949031600408e-05,2.7612121978715595e-11,2.7612121978715595e-11
3.506758409785933e-05,5.0736006527981655e-11,5.0736006527981655e-11
4.554729867482161e-05,3.3361428069276246e-10,3.3361428069276246e-10
4.126289500509684e-05,1.6704657739571867e-10,1.6704657739571867e-10
4.3497655453618756e-05,2.0063718092650357e-10,2.0063718092650357e-10
3.7346279306829765e-05,4.723388756811417e-11,4.723388756811417e-11
4.2880733944954125e-05,1.0495189857553515e-10,1.0495189857553515e-10
3.94927624872579e-05,1.1239959805555554e-10,1.1239959805555554e-10
3.997196738022426e-05,1.3790668607614676e-10,1.3790668607614676e-10
3.8008664627930686e-05,1.7123068953098878e-10,1.7123068953098878e-10
