phi,kxx,kyy
0.330752,1.675706940303e-07,1.675706940303e-07
0.305522,1.287717783374e-07,1.287717783374e-07
0.265981,5.7267310098129997e-08,5.7267310098129997e-08
0.266806,4.956674235755e-08,4.956674235755e-08
0.316103,3.235953723739e-07,3.235953723739e-07
0.312718,2.431344764948e-07,2.431344764948e-07
0.274988,1.484747150986e-07,1.484747150986e-07
0.297092,2.7650334019109996e-07,2.7650334019109996e-07
0.296124,3.4285419365009995e-07,3.4285419365009995e-07
0.32946,3.729494327603e-07,3.729494327603e-07
0.407181,2.175021045472e-06,2.175021045472e-06
0.433028,2.673742996661e-06,2.673742996661e-06
0.428363,2.5816038373729997e-06,2.5816038373729997e-06
0.398738,9.98677556503e-07,9.98677556503e-07
0.408206,1.547249003575e-06,1.547249003575e-06
0.407065,1.719141434736e-06,1.719141434736e-06
0.36486,1.151917137294e-06,1.151917137294e-06
0.351651,1.037927496144e-06,1.037927496144e-06
0.336164,6.541860570982e-07,6.541860570982e-07
0.325383,6.175129741935e-07,6.175129741935e-07
0.28683,2.805161703289e-07,2.805161703289e-07
0.290634,2.903173056212e-07,2.903173056212e-07
0.278459,1.6446780717509998e-07,1.6446780717509998e-07
0.262019,7.632766109869999e-08,7.632766109869999e-08
0.264624,1.461130076417e-07,1.461130076417e-07
0.190206,2.626923355309e-08,2.626923355309e-08
0.214629,4.114818791622e-08,4.114818791622e-08
0.142827,1.016669168262e-08,1.016669168262e-08
0.096754,5.295169189189e-09,5.295169189189e-09
0.130773,9.843918417355e-09,9.843918417355e-09
0.131578,8.81095514541e-09,8.81095514541e-09
0.150168,7.152173939702e-09,7.152173939702e-09
0.123283,2.265739035208e-09,2.265739035208e-09
0.141349,2.7491241983150002e-09,2.7491241983150002e-09
0.105009,1.694695344595e-09,1.694695344595e-09
0.097912,7.928665453676e-10,7.928665453676e-10
0.124959,1.661564329414e-09,1.661564329414e-09
0.109427,9.073437266278e-10,9.073437266278e-10
0.137425,1.391344729874e-09,1.391344729874e-09
0.154155,5.227110958420999e-09,5.227110958420999e-09
0.15301,3.836920928808e-09,3.836920928808e-09
0.137168,1.194887777776e-09,1.194887777776e-09
0.12089,1.398065677547e-09,1.398065677547e-09
0.148012,3.468206383928e-09,3.468206383928e-09
0.175973,5.6694203737819995e-09,5.6694203737819995e-09
0.183405,4.490718138126e-09,4.490718138126e-09
0.188052,5.4266865881469995e-09,5.4266865881469995e-09
0.172876,5.3512165633959996e-09,5.3512165633959996e-09
0.215257,8.630713343131e-09,8.630713343131e-09
0.226931,1.883582594982e-08,1.883582594982e-08
0.261349,4.0273477795429995e-08,4.0273477795429995e-08
0.244246,2.039486868683e-08,2.039486868683e-08
0.292587,2.5562497777959998e-08,2.5562497777959998e-08
0.250537,1.4843129047339999e-08,1.4843129047339999e-08
0.242726,1.257093553375e-08,1.257093553375e-08
0.262313,1.063478940381e-08,1.063478940381e-08
0.27068,1.8353121763789998e-08,1.8353121763789998e-08
0.273893,1.731744445277e-08,1.731744445277e-08
0.255053,1.786044965243e-08,1.786044965243e-08
0.269443,6.360296291481e-08,6.360296291481e-08
0.260469,6.822936326821999e-08,6.822936326821999e-08
0.288229,9.436881640736e-08,9.436881640736e-08
0.258176,5.221041380126e-08,5.221041380126e-08
0.24145,6.506518847609e-08,6.506518847609e-08
0.247831,8.415267986741e-08,8.415267986741e-08
0.263768,9.540488848769999e-08,9.540488848769999e-08
0.232897,7.043563030536999e-08,7.043563030536999e-08
0.310381,4.379215543692e-07,4.379215543692e-07
0.304774,3.40735269325e-07,3.40735269325e-07
0.355786,1.112736282284e-06,1.112736282284e-06
